지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
1007000751,까치울,1007,7호선,1007000750,1007000752,온수,부천종합운동장,37.50622735113007,126.81133962285816,,,,,,,
1007000752,부천종합운동장,1007,7호선,1007000751,1007000753,까치울,춘의,37.5054255130821,126.797233841984,,,,,,,
1007000753,춘의,1007,7호선,1007000752,1007000754,부천종합운동장,신중동,37.5036991939036,126.786996627015,,,,,,,
1007000754,신중동,1007,7호선,1007000753,1007000755,춘의,부천시청,37.5029525402622,126.776897204578,,,,,,,
1007000755,부천시청,1007,7호선,1007000754,1007000756,신중동,상동,37.504657430273305,126.76401271224958,,,,,,,
1007000756,상동,1007,7호선,1007000755,1007000757,부천시청,삼산체육관,37.50578860265,126.753192450274,,,,,,,
1007000757,삼산체육관,1007,7호선,1007000756,1007000758,상동,굴포천,37.50650314706075,126.7414221320359,,,,,,,
1007000758,굴포천,1007,7호선,1007000757,1007000759,삼산체육관,부평구청,37.50704649360379,126.7313475774674,,,,,,,
1007000759,부평구청,1007,7호선,1007000758,1007000759,굴포천,부평구청,37.50743350044892,126.72143971800028,1007.0,7호선,1069.0,인천1호선,5.0,1.0,5-1
1007000759,부평구청,1007,7호선,1007000758,1007000759,굴포천,부평구청,37.50743350044892,126.72143971800028,1007.0,7호선,1069.0,인천1호선,2.0,1.0,2-1
1008000812,강동구청,1008,8호선,1008000811,1008000813,천호,몽촌토성,37.5302111983522,127.12044373032,,,,,,,
1008000813,몽촌토성,1008,8호선,1008000812,1008000814,강동구청,잠실,37.5178055794687,127.11286534895456,,,,,,,
1008000814,잠실,1008,8호선,1008000813,1008000815,몽촌토성,석촌,37.5143121584933,127.103270523629,1008.0,8호선,1002.0,2호선,6.0,4.0,6-4
1008000814,잠실,1008,8호선,1008000813,1008000815,몽촌토성,석촌,37.5143121584933,127.103270523629,1008.0,8호선,1002.0,2호선,1.0,1.0,1-1
1008000815,석촌,1008,8호선,1008000814,1008000816,잠실,송파,37.5054141216925,127.107004062699,,,,,,,
1008000816,송파,1008,8호선,1008000815,1008000817,석촌,가락시장,37.4997149535067,127.112193506363,,,,,,,
1008000817,가락시장,1008,8호선,1008000816,1008000818,송파,문정,37.4930992522183,127.118262745146,1008.0,8호선,1003.0,3호선,1.0,1.0,1-1
1008000817,가락시장,1008,8호선,1008000816,1008000818,송파,문정,37.4930992522183,127.118262745146,1008.0,8호선,1003.0,3호선,6.0,4.0,6-4
1008000818,문정,1008,8호선,1008000817,1008000819,가락시장,장지,37.4860310539381,127.122484886901,,,,,,,
1008000819,장지,1008,8호선,1008000818,1008000820,문정,복정,37.4786316933099,127.12617656737,,,,,,,
1006000646,화랑대,1006,6호선,1006000645,1006000647,태릉입구,봉화산,37.61984245540276,127.08354181123268,,,,,,,
1004000447,반월,1004,4호선,1004000446,1004000448,대야미,상록수,37.3123817631801,126.90382444207,,,,,,,
