지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표
1078330014,서부여성회관,1078,인천2호선,1078330013,1078330015,서부여성회관,서부여성회관,126.675870541598,37.5003434953542
1078330015,인천가좌,1078,인천2호선,1078330014,1078330016,인천가좌,인천가좌,126.675242029489,37.4898360731372
1008000810,암사,1008,8호선,1008000810,1008000811,천호,천호,127.12754072968517,37.55015818096496
1008000811,천호,1008,8호선,1008000810,1008000812,천호,천호,127.12320335921426,37.537936231906734
1009000901,개화,1009,9호선,1009000901,1009000902,김포공항,김포공항,126.796891362602,37.5783445148797
1009000902,김포공항,1009,9호선,1009000901,1009000903,김포공항,김포공항,126.80191361988808,37.56196757232288
1009000903,공항시장,1009,9호선,1009000902,1009000904,공항시장,공항시장,126.81060964296609,37.56368922800772
1009000904,신방화,1009,9호선,1009000903,1009000905,신방화,신방화,126.81723757150974,37.56748745669626
1009000905,마곡나루,1009,9호선,1009000904,1009000906,마곡나루,마곡나루,126.827420928424,37.5667126094974
1009000906,양천향교,1009,9호선,1009000905,1009000907,양천향교,양천향교,126.841978835328,37.5680808809647
1009000907,가양,1009,9호선,1009000906,1009000908,가양,가양,126.85442142615852,37.56143311719883
1009000908,증미,1009,9호선,1009000907,1009000909,증미,증미,126.86063675500975,37.558133059903305
1009000909,등촌,1009,9호선,1009000908,1009000910,등촌,등촌,126.86557100595411,37.550728980328884
1009000910,염창,1009,9호선,1009000909,1009000911,염창,염창,126.874871603971,37.546982941543
1009000911,신목동,1009,9호선,1009000910,1009000912,신목동,신목동,126.883095790252,37.5442883741577
1009000912,선유도,1009,9호선,1009000911,1009000913,선유도,선유도,126.89333386450167,37.53815865606546
1009000913,당산,1009,9호선,1009000912,1009000914,당산,당산,126.902165052778,37.5337892432802
1009000914,국회의사당,1009,9호선,1009000913,1009000915,국회의사당,국회의사당,126.91783895106,37.5281465047706
1009000915,여의도,1009,9호선,1009000914,1009000916,여의도,여의도,126.92466104293,37.5211700890445
1009000916,샛강,1009,9호선,1009000915,1009000917,샛강,샛강,126.9283750591322,37.51737287009036
1009000917,노량진,1009,9호선,1009000916,1009000918,노량진,노량진,126.940893179777,37.5135856714992
1009000918,노들,1009,9호선,1009000917,1009000919,노들,노들,126.953096069577,37.5126721234205
1009000919,흑석,1009,9호선,1009000918,1009000920,흑석,흑석,126.963463063008,37.5091654719404
1009000920,동작,1009,9호선,1009000919,1009000921,동작,동작,126.97854611382496,37.502744106282044
1009000921,구반포,1009,9호선,1009000920,1009000922,구반포,구반포,126.987464905696,37.5014398319603
1009000922,신반포,1009,9호선,1009000921,1009000923,신반포,신반포,126.996082392175,37.5035091412544
1009000923,고속터미널,1009,9호선,1009000922,1009000924,고속터미널,고속터미널,127.004211793489,37.5059814899483
1009000924,사평,1009,9호선,1009000923,1009000925,사평,사평,127.015272484531,37.5042326273953
1009000925,신논현,1009,9호선,1009000924,1009000926,신논현,신논현,127.025492036104,37.504811111562
1007000721,면목,1007,7호선,1007000720,1007000722,면목,면목,127.087503803859,37.5887148877725
1007000722,사가정,1007,7호선,1007000721,1007000723,사가정,사가정,127.088504554212,37.5809403751459
1007000723,용마산,1007,7호선,1007000722,1007000724,용마산,용마산,127.08671982507775,37.57366797492471
1007000724,중곡,1007,7호선,1007000723,1007000725,중곡,중곡,127.08431236632154,37.56592206115955
1001000142,구일,1001,1호선,1001000141,1001000143,가산디지털단지,가산디지털단지,126.86969110539,37.496254517687
1001000143,개봉,1001,1호선,1001000142,1001000144,개봉,개봉,126.858715959622,37.4946417150651
1001000144,오류동,1001,1호선,1001000143,1001000145,오류동,오류동,126.84480744815397,37.49439720933549
1001000145,온수,1001,1호선,1001000144,1001000146,온수,온수,126.823828819915,37.4923999909922
1001000146,역곡,1001,1호선,1001000145,1001000147,역곡,역곡,126.81205932067193,37.485314358615625
1001000147,소사,1001,1호선,1001000146,1001000148,소사,소사,126.79564427244556,37.48280032710237
1001000148,부천,1001,1호선,1001000147,1001000149,부천,부천,126.783081743529,37.4839888842916
1001000149,중동,1001,1호선,1001000148,1001000150,중동,중동,126.764535113735,37.4866816250266
1001000150,송내,1001,1호선,1001000149,1001000151,송내,송내,126.75316170607587,37.48764230897348
1001000151,부개,1001,1호선,1001000150,1001000152,부개,부개,126.740730089704,37.488477043182
1001000152,부평,1001,1호선,1001000151,1001000153,부평,부평,126.724331088618,37.4894490429055
1001000153,백운,1001,1호선,1001000152,1001000154,백운,백운,126.707294407871,37.483342495597
1001000154,동암,1001,1호선,1001000153,1001000155,동암,동암,126.702889753462,37.4706957867304
1001000155,간석,1001,1호선,1001000154,1001000156,간석,간석,126.69351903231802,37.46470628162983
1001000156,주안,1001,1호선,1001000155,1001000157,주안,주안,126.67996793218974,37.46505238644672
1001000157,도화,1001,1호선,1001000156,1001000158,도화,도화,126.668575935273,37.4661175111199
1001000158,제물포,1001,1호선,1001000157,1001000159,제물포,제물포,126.65749387411809,37.466819329634994
1001000159,도원,1001,1호선,1001000158,1001000160,도원,도원,126.64253515710824,37.46877255664296
1001000160,동인천,1001,1호선,1001000159,1001000161,동인천,동인천,126.63261605410459,37.4754032677399
1001000161,인천,1001,1호선,1001000160,1001000161,인천,인천,126.61682219568799,37.476166712082836
1001075410,광명,1001,1호선,1001080141,1001075410,광명,광명,126.884961689119,37.4167362171922
1001080142,가산디지털단지,1001,1호선,1001000141,1001080143,가산디지털단지,가산디지털단지,126.882614758479,37.4815311901749
1001000101,동두천,1001,1호선,1001000100,1001000102,소요산,소요산,127.05492800053,37.9276132662293
1001000102,보산,1001,1호선,1001000101,1001000103,보산,보산,127.0571810247491,37.914144018035586
1001000103,동두천중앙,1001,1호선,1001000102,1001000104,동두천중앙,동두천중앙,127.05642330094,37.9017807357936
1001000104,지행,1001,1호선,1001000103,1001000105,지행,지행,127.05579309162063,37.892342734325595
1001000105,덕정,1001,1호선,1001000104,1001000106,덕정,덕정,127.06155932141,37.8431876500694
1001000106,덕계,1001,1호선,1001000105,1001000107,덕계,덕계,127.056691678415,37.8187525814885
1001000107,양주,1001,1호선,1001000106,1001000108,양주,양주,127.044721319691,37.7741421622165
1001000108,녹양,1001,1호선,1001000107,1001000109,녹양,녹양,127.042279351606,37.759385253302
1001000109,가능,1001,1호선,1001000108,1001000110,가능,가능,127.044288264841,37.7483963196456
1001000110,의정부,1001,1호선,1001000109,1001000111,의정부,의정부,127.045956826767,37.7383624923599
1001000111,회룡,1001,1호선,1001000110,1001000112,회룡,회룡,127.047295368138,37.7238058806629
1007000730,강남구청,1007,7호선,1007000729,1007000731,강남구청,강남구청,127.0413109462156,37.51721617197854
1007000731,학동,1007,7호선,1007000730,1007000732,학동,학동,127.03190190063152,37.51434578734927
1007000732,논현,1007,7호선,1007000731,1007000733,논현,논현,127.02165424259898,37.51120000205266
1007000733,반포,1007,7호선,1007000732,1007000734,반포,반포,127.011586161943,37.5081614290284
1007000734,고속터미널,1007,7호선,1007000733,1007000735,고속터미널,고속터미널,127.005007834609,37.5033865633062
1007000735,내방,1007,7호선,1007000734,1007000736,내방,내방,126.993600180589,37.4876585212369
1078330017,주안국가산단,1078,인천2호선,1078330016,1078330018,주안국가산단,주안국가산단,126.68122005538342,37.47391267095278
1078330018,주안,1078,인천2호선,1078330017,1078330019,주안,주안,126.679015725246,37.4651552217129
1004000412,창동,1004,4호선,1004000411,1004000413,창동,창동,127.04838841056,37.6533706449195
1004000413,쌍문,1004,4호선,1004000412,1004000414,쌍문,쌍문,127.03465609756,37.6485426057036
1004000414,수유,1004,4호선,1004000413,1004000415,수유,수유,127.02550910860451,37.63788539420793
1004000415,미아,1004,4호선,1004000414,1004000416,미아,미아,127.026041090189,37.6266544891889
