Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
487,1007000732,논현,1007,7호선,1007000731,1007000733,서울특별시 강남구 논현1동,280,201891.4458,445746.1525
488,1007000733,반포,1007,7호선,1007000732,1007000734,서울특별시 서초구 잠원동,103,201103.4238,445447.6585
489,1007000734,고속터미널,1007,7호선,1007000733,1007000735,서울특별시 서초구 반포1동,162,200413.3,444868.3
490,1007000735,내방,1007,7호선,1007000734,1007000736,서울특별시 서초구 방배동,874,199381.0367,443129.7746
491,1078330017,주안국가산단,1078,인천2호선,1078330016,1078330018,인천광역시 서구 가좌동 606-11,,171831.62,441711.442
492,1078330018,주안,1078,인천2호선,1078330017,1078330019,인천광역시 남구 주안동 125,,171607.644,440687.552
493,1004000412,창동,1004,4호선,1004000411,1004000413,서울특별시 도봉구 창5동,135,204203.2433,461513.1429
494,1004000413,쌍문,1004,4호선,1004000412,1004000414,서울특별시 성북구 상월곡동,26-1,203049.4558,460988.6541
495,1004000414,수유,1004,4호선,1004000413,1004000415,서울특별시 강북구 수유3동,140,202239.7877,459806.8696
496,1004000415,미아,1004,4호선,1004000414,1004000416,서울특별시 강북구 미아3동,197-14,202305.3376,458556.5439
497,1007000710,도봉산,1007,7호선,1007000709,1007000711,서울특별시 도봉구 도봉동,363,204102.3169,465539.6107
498,1007000711,수락산,1007,7호선,1007000710,1007000712,서울특별시 노원구 상계1동,1132-9,204886.8888,464234.981
499,1007000712,마들,1007,7호선,1007000711,1007000713,서울특별시 노원구 상계동,647,205091.6723,462841.009
500,1007000713,노원,1007,7호선,1007000712,1007000714,서울특별시 노원구 상계2동,335,205342.2963,461689.8314
501,1007000714,중계,1007,7호선,1007000713,1007000715,서울특별시 노원구 중계3동,512,205672.2113,460601.4495
502,1007000715,하계,1007,7호선,1007000714,1007000716,서울특별시 노원구 하계 1동,280,206003.1757,459666.4785
